ID,Text,Sub-task A,Sub-task B
C4.1851.2,@Hrdk Parmar ha dekha yara,NAG,NGEN
C7.2387.3,"@nidhi chopra well, tere jesi feminazi ki Maa chodna merko bhot pasand hai..
yes I'm a male chauvinist !! ( A proud one )  
😆😆  
Aur Mai janma hi hun tere jesi Feministo ke GAND me bamboo daal ne ko.",OAG,GEN
C4.1527,"99 dislike ?? Yeeh log kabir Singh ki tattikhayali song sun rahe honge 😁But
sir aapne kah ke le li kabir Singh ki.... ..😂😂😂😂 😂🤣😂",CAG,NGEN
C4.1824,100 country ka garbage ek hoga to ek bollywood namak cancer peda hoga..... 😑,CAG,NGEN
C10.115,"35 minute ke bad ka video dekho kaise ye chutiya 2018 ko 2010-2011 me ghusa
diya",CAG,NGEN
C4.2069.4,Bhai ye Tiktok kya hota hai..,NAG,NGEN
C23.21,"Bhai mai toh dusro ka review nai dekhta hun bt tumne mere liye toh indirectly
spoil kr diya naa😠😠😠",CAG,NGEN
C4.1366,"Bhai movie dekhte hi same to same rxn tha ki agr real lyf me koi ye sb kre to
wo ek no. Ka ch***ia lgega na ki true love lgega😂😂",NAG,NGEN
C4.1602,bhai Shadi mein Jaroor aana movie ka review kro plss,NAG,NGEN
C26.270.5,+Ajay Kumar Singh ha ha true.....,NAG,NGEN
C7.1068.1,"Ji you are welcome.. agyanta ke pradarshan ka shree ganesha waise aapne kiya
hain. Aur apke bhakta waisebhi achhe se follow kar parahehai. So aapkohi
badhaiyaa!!",CAG,NGEN
C7.715,"Bhai tje puri film dekhne ki jarurt h... Or btw nice T-shirt 🤣or jese teri
soch h koi stri ni milne ki🤣",CAG,NGEN
C9.79,"ये मुल्ले अभी कम है,इसलिए शांति से PROTEST कर रहे है,नही तो मुल्लो ने देश के
दुबारा टुकड़े करने में एक सेकंड नही लेता।देशद्रोही मुल्ला",CAG,NGEN
C7.2217,Mast film hai,NAG,NGEN
C36.880,Sir cgpsc ka current affairs bnaeye,NAG,NGEN
C10.1239,"Iss Arundhati Roy ki face dekho Peshawar ke Hiramandi ke mujhrewali jaise
dikhti hai 😀😀😀",CAG,NGEN
C4.309,Jai Shree Ram 🙏🇮🇳🙏,NAG,NGEN
C59.1248,Jio brro,NAG,NGEN
C4.576,Aap movies mat dekho,NAG,NGEN
C21.172,Aap aapke review videos ese choti length ke hi banaya karo,NAG,NGEN
C38.335,"Auto bale bhaiya is the best ek auto Bala itna broad minded h r Baki k vo mota
khud ko sambhal na pa rha bacha kya smbhalega r Jo khtm krne bale bhaiya h ink
khilaf kro complaint ye aage ya to murder hoge ya corrective rapist's r kuch
ni",OAG,NGEN
C7.1791,Movie bht acchi h...feminizer logo ki esi ki tesi,OAG,NGEN
C36.694.2,physically check karke hi lete hain unko gay log hote hi nahi hain,NAG,NGEN
C20.241,"Section 375 made by men wow kya baised Comment kiya tune , ye bhi jaan le
zyadater female oriented movies banane wale men hi h samjhi",CAG,NGEN
C7.787.4,"Haash koi samzdaar ladki mili bhot khushi hui 😊 jo femism ka Sahi matlab Janti
hai par yrr sachme femism and women empowerment k naam par kuch bhi chutiyapa
chalta special treatment mangte hai sale",OAG,GEN
C33.732.5,@Karishma Thakar jaa jaake apni maa ki choot ko musalmaan se chudwale,OAG,GEN
C7.2282,Bhai Ye toxic masculinity apne waha aa gaya? He bhagwan.,CAG,NGEN
C26.173,Jootay case ka mu tode jawab sahi ki ya,CAG,NGEN
C36.772,"Hmlog israel or japan bana tho chate hain par dimag se abi v islamic countries
ke aas paas hi hai so enjoy kro hmlog v pakistan or afganistan se jyada dour
nahi hain kyonki jbtk dimag se liberal nahi baan sakte tbtk hmlog tisri duniya
ka desh hi rahenge...",CAG,NGEN
C38.624,faltu....,NAG,NGEN
C36.413,"SAHI HAI, AGAR HUME WORLD K SAATH AAGE BADHNA HAI. TO KANOON B WORLD KI TRAH
BUNANE HONGE . HUME PHYSICAL STRENGTH OR DESHBAKTI CHAHIYE. PERSONAL LIFE SE
MATLAB NAHI RAKHNA CHAHIYE.",NAG,NGEN
C4.316,Bhaiya tumhari batein dimag mein ghus ke sochne pe mazboor kar deti hain.,NAG,NGEN
C45.345,Hi Karte Ho video dikhao,NAG,NGEN
C4.413,"Londe chutiye h sb. Movie dekh k bhot londo ko dekha Kabir banke ghum rahe
the.  
Bc aisi lnd movie se kon inspire ho skta h.  
Rande h sb londe.  
Bhot doston ko Shwetabh k video dekhne ka bataya maine. Bolte h chutiye
bakwaas krta h wo.  
Unko kya pta kitno ki life sahi kardi h is bande ne.",OAG,NGEN
C59.1321,Jio Boss,NAG,NGEN
C7.1540,"Bhai app sensor board ka member thodi hoo,Gyan mat do review karo",NAG,NGEN
C7.295,Kabir Singh Movie dekhni hai link <https://youtu.be/i9QCYiTlBmU>,NAG,NGEN
C7.357.1,pallavi shahdeo hmmm,NAG,NGEN
C7.420.5,@Shubham Bodade aur tu kabir singh dekh karr ganjedi bann ja,NAG,NGEN
C4.2030.4,"@Aditya Mishra Bahut paisa hai Salman ke paas toh Sabse best defence lawyers
hain uske saath, Isiliye Baar Baar Bach jata hai Saala, India mein yeh law aur
court toh Gareebon aur middle class logo ki gaand marne ke liye aur rich logo
ko bachane ke liye hai yaar.",OAG,NGEN
C26.244,Judge ko v lapet lena chahea tha,NAG,NGEN
C7.825,"bhisdike tu kya smjta he apne aapko movie maa baap ke samne baat krne tarika
dekha  
tu apne maa baap se hi guse me baat krta.",OAG,GEN
C4.2213,"Kabir.....jesa imagine kia tha maine already....  
Lag raha tha kabir singh pe bhi bhai kuch bolenge",NAG,NGEN
C4.1858,Maine movie dekhi nahi...par review dekh lar laga ki accha hua nahi dekhi 😂😂,NAG,NGEN
C43.165.2,"@kamal ranjan are bhai Maine bhi toh wo hi kha wo ""not in public means"" public
mein nhi karenge jaise pahle private mein karte the waise hi karenge Lekin ab
woh sabke samne apna relationship Ko accept kar pyenge 🙏🙏 faltu mein kyu daant
rhe ho 😁",NAG,NGEN
C7.2377,Bigil k poster ka bhi review krna sir,NAG,NGEN
C19.184.3,Bekar h kya movie ?,NAG,NGEN
C7.1150,मैं तो सिर्फ साउथ की फ़िल्म देखता हूँ या हॉलीवुड,NAG,NGEN
C7.2187.1,"MAIN POINT YEH HAI KI .... KABIR SINGH ANGRY PASSIONATE ZIDDIII INSAAN HAI...
.... USKO JAB GUSSA ATA HAI TAB MEN WOMEN KUCH NEHI DIKHTA HAI....",NAG,NGEN
C38.243,Madarchodon bhadwe bhodsiwalo gay lesbian kya bakwas hai,OAG,GEN
C19.16,"Ye gaandu pudiabaaz fir a gaya londu review Karne..Abe gaandu ke Lund sauravh
Dwiwedi ki bajah se pal rahe ho we tum ganduo",OAG,GEN
C4.1807,"[8:07](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=8m07s) ladki aayi ladka
ko pyar ho jata hai...  
Kaise pyar ho jata h bhai?  
Phir vahi bollywood ka purana formula..  
Ladke ne ladki ko dekh liya 😅😅  
Khatam baat pyar ho gaya itna ho gaya ki av vo mar jayega uske liye 😅😅😅",NAG,NGEN
C20.299,Jasleen kaur pe bana h 😂,NAG,NGEN
C10.188,"Suzanne kya karegi faltuka fiction likke desh ko gumrah ki......abi for try
karrahi hai...iss ki agent, communist ki tatti",OAG,NGEN
C9.65,"Lallantop , ye chutiye ko laoge to tumhara business tabah ho jayega !!!",OAG,GEN
C21.78,अगर महिला सहमति से करती है तो ये रेप नही माना जायेगा,NAG,NGEN
C4.881,"bhai alag se aakar videos dekhne pad rhe hai......youtube se recommendations
nhi aa rhi aapke videos ki.....saare button daba rakhe hai",NAG,NGEN
C38.101,Maa chuda,OAG,GEN
C7.2067,"Kaun hai ye liberals  
Kaha se aate hai ye log",NAG,NGEN
C21.151,"Movie dekhne ke bad aur uske bad prateek bhai ka review yaisa lagta hai jaise
sone pe suhaga.",NAG,NGEN
C4.415,Maachodii Puri director toh goli mar lega apne aap ko😂,OAG,GEN
C4.609.5,"@Rupan Debnath inki video achhi lagti hai... lekin har video mne betich..d
behenc..d... bohat ugly lagta hai yaar... dusro ko inspire karte hne khud aise
words kyun bolte hne..  
Kabhi aise words sune hne ki baapch..d aur bhaich..d..... not rit yaar",OAG,NGEN
C7.625,"Bhai koi love wala ya 1k likes wala option hota toh is video ke lie bnta wo  
Thanku bhai. Iski bahut zrurat thi  
🙏 🙏 🙏  
Inka muh band krne ki bahut zrurat thi",NAG,NGEN
C4.319,"C'mon man , itni bhi kharab nahi thi jitna ye admi bata raha hai.  
Mujhe toh yeh lagta hai k iska ego hurt ho gaya hai k itni ichhi movie
'bollywood' se kaise ban gayi.",NAG,NGEN
C7.1058,"Galat kuch v nhi that movie Mai bas ek do baat ki skool college ke pehle din
jaan na pehchaan kisi larki ko Bina pooche kiss kar Lena ..  
Ya far film ka shahrukh Khan ban ke larki ko jabardasti patana..  
If this is liberal or feminism for u than believe me u r not rightest. But you
are fucking sychopath..!!!",OAG,NGEN
C59.986,Mst bro,NAG,NGEN
C7.1429,O stree friendhip karogi ?😂,NAG,NGEN
C7.271,"Pratik Bhai movie ka review Karo aur uske details me baat karne ke liye alag
video banaya karo please",NAG,NGEN
C4.2044,"Jo Bollywood Bajirao Peshwa ka Devdas type pyaar ke chakkar mein pagal hokar
marne wala character bana de....",NAG,NGEN
C7.944,O stri friendship karogi???,NAG,NGEN
C26.115,Bhaut sahi kiya,NAG,NGEN
C36.667.1,"pls mujhe de do sir. mai job khoj khoj k paresan ho chuka hu. maine 2 lac rs
ek froud se gawa diye",NAG,NGEN
C7.703,Pehle fursat me nikal lavde .........,OAG,GEN
C7.2072,sir titanic movie ka review bnao plzzz,NAG,NGEN
C36.863.3,To tu fail hoga aur wah ghand Marni hain dushman ki na ki maarwani hain,OAG,NGEN
C36.860.5,"@Shubham Nishad जा ना ..तेरे जैसे बहुत आते है रंडी रौणा करने के लिए... माँ
चुदा तू तेरी अब ...",OAG,GEN
C4.1726,"Sundar dikhne se pyar kaise ho jata hai yaar mujhe aaj tak samjh nahi aaya...
Human being kitne bewakoof hote hai yaar",NAG,NGEN
C36.1149.4,@Deepak Goyal shayad Bhagavad Gita Mai ho jawab,NAG,NGEN
C19.172,Puri movie hi dikha do ....Yahi pe,NAG,NGEN
C4.1901.2,bewre gaand marwaake comment likh raha hai kya,OAG,GEN
C33.255,Bc aaj dekh bhi liya ka dimag such me ghutno me hota he....😩😩😩,OAG,GEN
C26.226.3,"RRaman Singh in chutiya hai tu..in kaminio ki koi saza vi nhi hota hai false
case darz krwane se to log aur kya kr skte hai .",CAG,NGEN
C33.276,"nice yar sala ladka samaj ta ha ki ladkiya unka bina kuc nahi asal bat to ye
ha ki ladko ki okad ladki ka bina kuc nhi",CAG,GEN
C7.70,Mudde pr aa jaye kre yrr bakwas ki jrurat nhi,CAG,NGEN
C4.913,"Tu real hein vai!  
Emotional hoke keh raha hu or nehi.....tui az tak jo kaha hein, o true hue aya
hein.",NAG,NGEN
C68.494,Vii Kaya diya vii,NAG,NGEN
C7.499,"Mastt movie h bhai , Mazaa aa gya dekh k movie...😊👌👍👍",NAG,NGEN
C32.38,"YEH GALAT H GAYS KO BURA DIKHATE HO BURA BOLTE HO ...HAM BHI INSAAN H HME BHI
JEENE KA HAQ H",CAG,NGEN
C36.609.1,Army main mard hone chaiye hizade,CAG,GEN
C10.354,बजा देंगें ठोक देंगे ये है इस महान journalist का भाषा चीख चीख बोलता है !,CAG,NGEN
C23.51.3,to kya rating kya honi chahiye apke point of view se,NAG,NGEN
C59.221,Ranu ka num 9884057000,NAG,NGEN
C7.1770,"[0:40](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=0m40s) literally jo
sukoon Mila na.......",NAG,NGEN
C26.106,"Bahut sahi kiya aap na.aap ho asli hero.or dalo jhuti report.maar dena chahiyu
jo jhuti report dalta ha.",CAG,NGEN
C4.1518,Bhai tu h zhaddand ... Tujko real-life ka jhaat experience nahi h,OAG,NGEN
C7.2047,"u r antiwomen..jo filme main female ko nicha dikhate hain wo tumko pasand ati
hain..fuck u",OAG,GEN
C4.819,"Jo log yaha pe comments kr rahe hai sub kai sub sale 2-2 baar movie dekhe
honge......",CAG,NGEN
C4.829,"Bhaiya maine bhi apne dosto ko yahi bola ki kuch nahi h wahi story ko baar
baar naye chehro ke saath dikhaya jata h par mere chutiye dost to movie dekh
ke pagal se ho gye the",NAG,NGEN
C7.1527,"sir aap plz feminism ke karan tension nahi lijiye.....feminism jis rahh pe
chal rahi hai....wo apna kabr khud khod rahi hai...ager mere nazariye se dekhe
to jald hi feminism ko counter kerne ke liye phir nayi thought
aayegi......bicharo ki hi to ye ladai hai....",CAG,NGEN
C7.1277,Another kamaaal review.... Aaj hi dekh k aaya film 😊😊😊😊😊,NAG,NGEN
C7.983,maha jhatu movie hai....guys don't waste ur 💰,OAG,NGEN
C38.55,"She : Chasmay bohat acchay hai aapke  
Car wala : meri wife lithi",NAG,NGEN
C7.592,ओ स्त्री friendship karogi 🤣🤣,NAG,NGEN
C7.1225,"bhai tumhari beard(dadhi) ko kya hua  
ek taraf se jyada ek taraf se kam",NAG,NGEN
C9.85,"Jo aadmi aadhar card k liye supreme Court chla gya vo aaj CAA aur NRC la rha h
jisse logo ko desh se bhi nikala ja skta h jbki aadar card se koi desh se
nikala bhi nhi ja rha tha vo aaj NRC jesi chijo pr desh ki jnta ko chup rhne
ko bol rha wao.. Jb k virodh kre re ye aadmi hmare vishwas se khel rha..",CAG,NGEN
C36.1109.4,"@Abhishek Anand gays ko agar sex ka itna shauk na hota to vo gay bnte he nhi.
ldka ldki gender hai gay koi gender nahi hai bas unnatural sex ki bhukh hai.",OAG,GEN
C4.1851.3,Sun li Bhai NE baat,NAG,NGEN
C36.732,Jai mata ji ki sa,NAG,NGEN
C7.1011,Kaun Hai ye madarch*d dislikers,OAG,GEN
C7.152,"Critics mafia Kam stars de rahi hai..mathlab film definitely desh ke liye aur
logon ke liye accha hai ..",NAG,NGEN
C36.622,ये army chief bahot jyada controversial byan dete hai,CAG,NGEN
C7.762.3,"Us ladki ne Kabir Ko khud ghar pe Bulaya tha... Film thik se nahi dekhi kya ??
Ya samajh me hi nahi aayi film ??",NAG,NGEN
C59.1371,Ap ka kya hoga cinabab ali?,NAG,NGEN
C36.703,"काम पहचान होना चाहिए ना कि लिंग निर्धारण पर पहले क्षत्रीय था अब सब है लड़की हो
या हिजरा या",CAG,NGEN
C33.505,Maa चुदाये बेहेंचोद ये ३७७,OAG,GEN
C25.467.1,ashish sir with ashish sir gawar larki aisi nhi hoti. Wo sidhi or bholi hoti h,NAG,NGEN
C4.835,Mene bola tha ye bnda sandeep mashewari se bhe acha h,NAG,NGEN
C7.483,Ak tali to apki soch ko 😡😡,NAG,NGEN
C7.2578.1,but saho movie toh tatti hai,OAG,NGEN
C7.891,"Kaun hai woh mother Chod ladki. Mujhe koi link do. Aisi Gaali dunga ki pura
din kharab hoga",OAG,GEN
C7.934,"guyz please watch this video. sahi galat shayad smajh aa jaye  
<https://youtu.be/nNekk07Qt2g>",NAG,NGEN
C7.567,"harmi ho gye kuch pde likhe jo indian culture k liya glt bolte h ..kabir singh
m kuch nhi h esa glt ..pyar krne waalo k liye bhut saandar h ..kbhi pyar kiya
nhi hoga to ese hi bolenge",NAG,GEN
C10.404,kungfu kutha roy,OAG,NGEN
C7.1671,"Bekar ka bat nhi kar ke picture ke bare me bolo na lamba chowda video banana
band kar de pls",NAG,NGEN
C38.275,"or ha wo Grey shirt wala uncle khrha h ki ye hmara culture ni h. to kya hmara
culture apne bchho ko jaan se marna h agr wo homo ho jaye to !!!! hmara
culture rape krna h !! bolo... agr culture ko itna mnate ho to ... ye jeans.
shirt or ye wrist watch mt phno ...... dhoti kurta me aa jao..... Culture
mante ho to Achhaiyo ko follow kro...",OAG,NGEN
C7.1450,"Sir apke background mai modi ji ka photo lagate kyu nahi modi ji toh bhagwan
hai woh toh musalmano ko marne ke lye aya hai mere dost nai btaya tha ki yeh
channel bjp support karta hain lakin apke pisse photo kyu nahi hain I
unsubscribe u sir😢",CAG,NGEN
C7.1949.4,"Secularism ka lauda pe bh  
Tustikuran ka gand marne pe bh",OAG,GEN
C21.122,"Movie ke Pahali line se hi Interest Ban Jata hai... Instant connection Ban
Jata hai... Briliant Movie...",NAG,NGEN
C10.44,Aur humlog bhi naam change karenge... Eg. Arundhati randi rakhenge,OAG,GEN
C38.557.2,"Really auto wale ke pass hi sahi knowledge h aur sab padhe like hote hue bhi
gawanro jaise h",CAG,NGEN
C4.1984.1,"@vikram m chutiya aur pagal ko har baat me majaa aata h khud kuch kar nahi
paate to baat ko majak bana dete h",CAG,NGEN
C9.283,"कल रंगा बिल्ला मन की बात करेगा और फिर वही बकचोदी पलेगा जो अगस्त 2014 से पेलता
आ रहा है। सिर्फ अपनी मन कि करता है..किसी के मन का सुनता नहीं।",CAG,GEN
C33.85.1,Abe chutye kya bk rha h tu shrm ni h k tainnne 🤨🤨🤨🤨,OAG,GEN
C25.512.1,"Uncle gi , Court mai jaakar ghar kisko chalana hai inko toh paisa kmana hai .
mere saath bhi ho chuka hai",CAG,NGEN
C4.1346,Gaanja kam fooka kariye tab sab sahi hi bolenge 😂😂,CAG,NGEN
C21.35,200 k ho gaye 😀,NAG,NGEN
C19.100,"सौरभ द्विवेदी साहब ये लड़का तुम्हारा कोइ रिस्तेदार है क्या... जो इसको फ़ोकट में
नौकरी पे रखा है फ़िल्म की कहानी बताने के लिये ताकि लोग इसका रिव्यु सुन के फ़िल्म
ही ना देखने जाए",CAG,NGEN
C7.224,"Bhai koi mujhe bata sakta hai wo background music kabir Singh jab uske bhai ke
bachelor party me entry krta hai tb ek DJ music type lgaya tha mast tha  
I say this is how aisa kuch to words sunai de raha tha usme",NAG,NGEN
C36.1037.1,"Pak army tery zahn PR sawar hogye by. Bhool ja Bhai. Yh apki fouj k gays ki
bat horhy by. Haha",CAG,NGEN
C7.1407.1,sourabh shukla nhi,NAG,NGEN
C4.1528,Kya bhai aaj hi saal bhar ka video daloge itna kaam ufff😂,NAG,NGEN
C4.1161,बॉलीवुड की koi मूवी बताओ जो देखने लायक हो,NAG,NGEN
C10.1265,I know Desh Ke Dushman,CAG,NGEN
C4.476,"M likh k deta hun apni gf r female frnds k karn adhe bando n ye movie dekhi
h...",NAG,NGEN
C36.1157.5,"@Akanksha Gupta kuch maderchodo ke gaad me khujli hoti hai Bhai..aur dekho to
petetion file krne wala pandit hai.maderchod",OAG,GEN
C19.169.3,Sahi khel gya bncho,OAG,GEN
C7.166,"Jio bhai, aurat ho k bolti Hun! Feminist faltu Kam karte hai!",OAG,NGEN
C38.333,Jaat mota hai jo..bhagwan isi k ghr m paida kre..isko bhi bnade,OAG,NGEN
C7.1177,"Jo aatanwadi ke liye sympathy de wo liberal nahi ho sakta na hi hota hai .ye
tumne apne dimaag mein baitha liya hai ki liberals aisa hi karte hain .kis
liberal ki baat kar raha hai name it.",OAG,NGEN
C7.54,Chudai is a aam baat,OAG,GEN
C10.1429,Bjp hai hai,NAG,NGEN
C38.687,"Kya hua timeliners patience khatam!channel aage nahi bad raha to aise hi video
banoge kya!hr youtube channel ka yehi hai..aaage badne ke lie bs aise adult
topics uthao!shame on u",OAG,NGEN
C36.860.3,भाई हिन्दी में टाईप करने मे टाईम ज्यादा लगता है। बस और कुछ नही।,NAG,NGEN
C7.545,"Sahi kaha bhai veere do wedding Ko bada support Kia tha ab Wahi Shahid Kar
Raha hai to ab jal Rahi hai",CAG,NGEN
C7.2366,"Bhai is movie kaa naam Kabir Sing k jagah vishesh logo k naam PE hota to ye
kuchhh nahi bolte bilkul bhi nahi bolte...muh me dahi jaam jata",CAG,NGEN
C7.2504,"Bhai lakhshy chowdhary me uski barabar li he  
Ek bar dekho vo video",NAG,GEN
C7.2571.3,"To tu mat dekh, hame to aise hi videos dekhne Hai, keep it up pratik Bhai",NAG,NGEN
C4.1823,Joker karo plz,NAG,NGEN
C7.1458,"Kon kon madarchod fake librals aur bhadwe whore feminists dislike kiye hai ye
video?",OAG,GEN
C7.2354,tu banchood hai kon....movie review kar nanchood itna time nahi hai,OAG,GEN
C29.22,Jai Shri Ram,NAG,NGEN
C36.487,"ठिक हि तो कहा है, नहीं ते Army ही Army गा* मार लेगी",CAG,NGEN
C36.1075.3,Hajajaja hajajajaja kya baket comment h tera Bhai,CAG,NGEN
C4.796,Kutton ki tarah pyaar matlab ?,NAG,NGEN
C9.213,"Saurav ji aap mujhe bahut psnd ho ..aap jo kahte ho o psnd h ..or main apne
frnd ko v bolta hu o apko sune...mgr main netanagri k karan maine ye chod diya
h ..bcz rajdip jo bat krta h ...saf saf dikhta h..1 paksh k bare me hi bat
krta h ...usne ek bar v anudti roy ko bura ni kaha ???",NAG,NGEN
C19.93,Akshay khanna dabardust actor hai,NAG,NGEN
C4.179,Swethabh bhai bahot badiya review tha,NAG,NGEN
C7.883,"Aur mjhe afsoo horha hai shaadi kappor jese actor pr jisne itna ganda role
kiya hai",CAG,NGEN
C59.1043,Jio.......😎😎😎😎,NAG,NGEN
C23.33,Bhai app youtuber ke allava app kya kaam karte hai ?,NAG,NGEN
C4.1852,"O:04 aaj hum baat karne wale h shahid khan movie ke bare me..  
Shahid khan.? Nai kabir khan? Nai kabir singh, shahid Kapoor kya bol raha hun
main.! 😂😅",NAG,NGEN
C4.17,Ye to bghwan h yrr,NAG,NGEN
C7.2260,Sir apka review sunke bohot accha laga...,NAG,NGEN
C21.293,"Nani's  
gang leader karro bhai.please",NAG,NGEN
C7.2068,sir plzz titanic ka movie review kijie request h plzz,NAG,NGEN
C9.60,"Arundhati Roy bilkul sahi h  
unka matlab hai...nrc npr ka boycott karna",NAG,NGEN
C4.731,319dislikes.. Koun hai yeh log...,NAG,NGEN
C29.21.1,Harishsinh Sodha tu bhi gand se Nikla ka lawde,OAG,GEN
C7.2570.1,Shutter Island bhi dekh lena bhai,NAG,NGEN
C4.1741,Aap likh do ek movie bro,NAG,NGEN
C25.528.2,"मेडम जी लड़की आज कल ब्लैकमेल करती  
अपने घर पर बिता गा तब पता चला  
हर औरत अगर सेफ्टी ना हो ती तो  
ना किसी मां और बहन न भाभी भतीजी बहु  
लगता है कि ये बिना पिता और भाई नही है",CAG,NGEN
C7.94,In stating I'm thinking Bakchodi band kar bhosdi k review de jaldi se.....,OAG,GEN
C7.601,Movies ek number,NAG,NGEN
C33.52,Yaar punjabi ch ve banaea kro video,NAG,NGEN
C36.1157.1,Jald hi main ispe video banunga thoda Kam Baki h,NAG,NGEN
C7.1635,"nice review but vedio kj lenth km rakha kro yar q kj 16 17 min ka time dekh kr
dil nhi hota vedio pr click krne kq",NAG,NGEN
C9.282,"Ye log congress ke chamche hai  
Sarkar kuchh bhi kare uska birodh  
Karna hi hai.",CAG,NGEN
C9.295,Rajdeep chutiya hai saala,OAG,GEN
C7.163,O स्त्री friendship karogi 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 osm,NAG,NGEN
C7.348,Sahi bhai,NAG,NGEN
C32.159.3,Kaha,NAG,NGEN
C19.162,Jurur dekenge bhai,NAG,NGEN
C21.31,"Sahi baat hai mainey English kafi zyada ae film but its film is very good and
such a content based movies are needed and i hope end main failsa sahi ata
lekin best ae",NAG,NGEN
C7.2532.3,"Bhagva aur orange me bohut fark hai 🤭,,,, jor jabarjasti ka bjp link, jis
topic me bat ho rha hai wo kro",CAG,NGEN
C21.343.2,@Heart Hacker aur bhi bahut kuch hai...........,NAG,NGEN
C7.2135,"Har video me librals har video me tont abe yar boar kr diye ho ekdam se har
video me review do clean aur pure",CAG,NGEN
C36.752.1,Robin Sahi ye paschim mein chalega,CAG,NGEN
C38.692.2,"Kshitij Walwaikar are yrr ye bhed chal Valle log hai khud toh opinionated hote
nahi jo log karte hai vahi akh aur dimag band kar k copy karte hai isne logic
puchne ka koi faeda nahi 😂😂😂",CAG,NGEN
C29.33,Halaala SE janme ye sab loog inke soonch bhi halala wali he hai ...,OAG,GEN
C4.2228,"[1:20](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=1m20s)  
Chair ka hi awaz hai bhai ne paad nai mara 😂",NAG,NGEN
C9.253.2,Ab hum karenge to tumhe Burma lag jayega,NAG,NGEN
C19.142,film to kl aa rhi h yar,NAG,NGEN
C4.40,"Bhai web series m sirf gaali aur sex hota h vedio bnaao bade bhai youth ko
smjhao",NAG,NGEN
C21.131,A1 movie Hain sir,NAG,NGEN
C7.398,Shi bol rhe ho bhai,NAG,NGEN
C4.1267,maa chod di movie ki😂😂😂😂,OAG,GEN
C7.2538,"bilkul sahi kaha hai sir, we all support you👌👌👍",NAG,NGEN
C7.1395,"You are the best prteek Bhai.  
Aap bahut se frusteted logo ki awaj ho Jo aaj libral samaj me aawaj nhi utha
skte .libral aurat ko paida hote hi harischandra ka certificate mil jata hai.",CAG,GEN
C7.90.1,"Simple si baat hai... Kyu ki un films me Drink, smoke in baton Ko glorify Kiya
Gaya hai... Jaise ki Veere di wedding, Four More Shots please etc.  
Par Kabir Singh me drink karne Ko uske jivan ke ek bure Daur ki tarah Dikhaya
hai ! Aur ending me Kabir ke pitaji use kehte bhi hai drink chhodne ke liye !",NAG,NGEN
C23.43,Bhai main sirf aap hi ka review dekhta 😊😊,NAG,NGEN
C21.191,Iss movie ke bare mein baut reviewers ko nahi pata,NAG,NGEN
C4.1819,"mere ko ye movie bilkul h bakwas lgi, puri dekhi tk nhi..",NAG,NGEN
C7.1579,Break the chains dude 🤣🤣🤣 bhai aapne mann ki baat keh di,NAG,NGEN
C4.585,"ye bas ek movie hai jisme hero ka character focus kiya hai, jiske vajah se wo
samaj sudharana nahi kar paye, unako maf kar dena, and tuze bollywood western
se compare karana hai to bollywood movie dekha mat kar,",CAG,NGEN
C36.686,army me abhi bhi ye loag hai.. mere dosto ne bataya hai,NAG,NGEN
C33.2,Ha buhut acchi lagi .... buhut comedy thi end buhut accha hua,NAG,NGEN
C9.157,Ranga billa 😝,NAG,NGEN
C59.367,Lol Ranu mandal😠😠😠😠😠😠,NAG,NGEN
C7.1123,"Ye feminist or liberal wala video kidhar h bataiye zara ,gaali de ke aata
hun....",CAG,NGEN
C9.171,"2021 Tak jitne bhi purane mudde hai Jo Congress party tal rahi vo sab complete
ho Jane chahiye taki ab sirf aur sirf baat main mudde pe ho kisan, yuva ko
rojagar jaise. Congress ne vaise hi desh ko bahut piche kr diya kisi ek dharm
k chakkar me aur abhi bhi aisa hi Kar rhi hai. Jab sab dharm saman hai to ye
dharm vishesh k log kaise bane.",CAG,NGEN
C36.683,"Gay ko dalenge army me.socho Bipin Rawat ji agar gay hote to kese baat krte.  
  
Ladkiyo ki trah  
  
Inko dur hi rakhna chahie army se.baaki jagah jo krna hai kro lekin private
me.",CAG,GEN
C7.523,Are movie ka review kab kroge😂😂😂,NAG,NGEN
C7.1850,Yeh Movies talk ke baare mei baat kr rha 🤣🤣,NAG,NGEN
C7.190,"Feminist hai chutiya saali ye apne baap ko bhi judge karegi per khud karegi to
bolegi ki apni soch sudharo bla bla chutiya saali",OAG,GEN
C68.76,Atssa laga,NAG,NGEN
C7.2563,"Ye vahi log hai jo pink jaisi purn ghatiya mansikta vali film ko achha btate
hai.....  
Pr yhan dukh hai ki bhaiya apne pink ka review ab tk nhi kiya🙄🙄",CAG,NGEN
C19.27,isse Accha mobark sir hai,NAG,NGEN
C7.2485,"Bhai sirf T SHIRT ki wajah se subscrine kiya same Tshirt hai L
Size..[wyo.in](http://wyo.in/)",NAG,NGEN
C36.738.4,Fauj h koi tumare bap ka ghr nhi h.bdi aai nhi to gyan dene wali,OAG,NGEN
C7.108,"Aapko lgta hai ki ye maar peet Nasha krna theek hai .acha guide KR raeh ho aap
.pehle ye dekho Kya dikhaya ja raha hai .just shut up",OAG,NGEN
